age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact_cellular,contact_telephone,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_failure,poutcome_nonexistent,poutcome_success,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,default_no,housing_no,housing_yes,loan_no,loan_yes,y
-0.9872758526737136,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,-1.2056294775657868,-1.1829921987775867,-1.236586267650113,-1.3347910855076475,-0.9231927552644157,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
-0.1086877694361093,0.5618680904324538,0.1961705423807372,-0.34634948129136434,0.6451631195527221,0.7138615347637192,0.8865014135180631,0.7089478388971377,0.3305726203980628,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.2063086675736209,0.1752961503285168,0.1961705423807372,-0.34634948129136434,0.8366244227029125,1.525322123771849,-0.2833632271256249,0.7689559834872269,0.8367172932716057,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-0.7920340563986905,0.1752961503285168,0.1961705423807372,3.3058835653645056,-0.7588864368820087,1.067045018302284,0.6481956533869411,-1.5823246819417678,-2.771780441904965,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
-0.4991713619861557,-0.5978477298793571,0.1961705423807372,-0.34634948129136434,0.6451631195527221,0.7138615347637192,0.8865014135180631,0.7089478388971377,0.3305726203980628,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-1.4753803433612718,-0.5978477298793571,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.768378982096938,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
-0.4015504638486441,-0.5978477298793571,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.7741489959998311,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
-0.4015504638486441,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,0.6451631195527221,0.7138615347637192,0.8865014135180631,0.7112558444582948,0.3305726203980628,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0.6722794156639835,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,0.8366244227029125,1.525322123771849,-0.2833632271256249,0.768378982096938,0.8367172932716057,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
-1.0848967508112253,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,-1.2056294775657868,-1.1829921987775867,-1.236586267650113,-1.3347910855076475,-0.9231927552644157,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
-1.2801385470862485,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.7712639890483846,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
0.3794167212514487,1.3350119706403276,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.7678019807066485,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
0.4770376193889603,-0.21127578977542014,0.1961705423807372,-0.34634948129136434,0.8366244227029125,-0.23370390887633555,0.951493893553823,0.7724179918289631,0.8367172932716057,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
0.9651421100765183,-0.5978477298793571,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.770109986267806,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
1.4532466007640763,1.3350119706403276,0.1961705423807372,-0.34634948129136434,0.8366244227029125,0.5829252189152614,-0.4783406672329075,0.7706869876580951,0.8367172932716057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
